FILE            	MYPPRUN          	MYTYPE  	DOTHIS                      	TOTHIS  	
SUPA0051461.fits	2007-02-13_BIAS  	BIAS    	BIAS_2007-02-13-2007-02-16  	Z2089   	
SUPA0051569.fits	2007-02-13_BIAS  	BIAS    	BIAS_2007-02-13-2007-02-16  	Z2089   	
SUPA0051685.fits	2007-02-13_BIAS  	BIAS    	BIAS_2007-02-13-2007-02-16  	Z2089   	
SUPA0051812.fits	2007-02-13_BIAS  	BIAS    	BIAS_2007-02-13-2007-02-16  	Z2089   	
SUPA0051813.fits	2007-02-13_BIAS  	BIAS    	BIAS_2007-02-13-2007-02-16  	Z2089   	
SUPA0051814.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051815.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051816.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051817.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051818.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051819.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051820.fits	2007-02-13_W-J-V 	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051473.fits	2007-02-13_W-J-V 	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051474.fits	2007-02-13_W-J-V 	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051475.fits	2007-02-13_W-J-V 	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051476.fits	2007-02-13_W-J-V 	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051477.fits	2007-02-13_W-J-V 	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051821.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051822.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051823.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051824.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051825.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051826.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051827.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051828.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0051829.fits	2007-02-13_W-J-V 	SKYFLAT 	FLAT                        	Z2089   	
SUPA0052361.fits	2007-02-13_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0052362.fits	2007-02-13_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0052363.fits	2007-02-13_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0052364.fits	2007-02-13_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0052365.fits	2007-02-13_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0051484.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051485.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051486.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051487.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051488.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051489.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051490.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051491.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051494.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051495.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051496.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051497.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051498.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051499.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051500.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051501.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051503.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051504.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051505.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051506.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051509.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051510.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051511.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051512.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051513.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051514.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051515.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051516.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051549.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051550.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051551.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051552.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051553.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051554.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051555.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051556.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051557.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051586.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051587.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051588.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051589.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051590.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051591.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051592.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051594.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051595.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051596.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051597.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051598.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051599.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051600.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051602.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051603.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051604.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051605.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051606.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051607.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051608.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051610.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051611.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051612.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051613.fits	2007-02-13_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0051615.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051616.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051617.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051618.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051619.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051620.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051621.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051661.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051662.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051663.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051664.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051665.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051666.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051667.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051668.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051669.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051670.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051671.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051672.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051673.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051674.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT_2007-02-13_W-S-I+ 	Z2089   	
SUPA0051785.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051786.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051787.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051788.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051789.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051790.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051791.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051792.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051793.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051794.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051795.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051796.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051797.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051798.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0051799.fits	2007-02-13_W-S-I+	SCIENCE 	SUPERFLAT2_2007-02-13_W-S-I+	Z2089   	
SUPA0108063.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108201.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108202.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108205.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108206.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108207.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108213.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108214.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108215.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108216.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108217.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108218.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108227.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108401.fits	2009-03-28_BIAS  	BIAS    	BIAS_2009-03-27-2009-03-29  	Z2089   	
SUPA0108390.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108391.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108392.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108393.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108394.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108395.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108396.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108397.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108398.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108399.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108400.fits	2009-03-28_W-S-I+	DOMEFLAT	FLAT                        	Z2089   	
SUPA0108251.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108252.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108253.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108254.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108255.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108256.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108257.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108258.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108259.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108260.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108261.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108263.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108266.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108267.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108268.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108269.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108285.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108286.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108287.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108288.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108289.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108290.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108291.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108292.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108293.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108295.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108297.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108298.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108299.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108300.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108301.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108302.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108303.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108304.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108306.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108307.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108308.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108309.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108310.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108311.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108312.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108313.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108314.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108315.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108319.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108320.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108364.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108365.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108366.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108367.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108368.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108369.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT_2009-03-28_W-S-I+ 	Z2089   	
SUPA0108416.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108417.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108421.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108422.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108423.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108424.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108425.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108426.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108427.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108428.fits	2009-03-28_W-S-I+	SCIENCE 	SCIENCE                     	Z2089   	
SUPA0108430.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108431.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108432.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108433.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108434.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108435.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108436.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108437.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108438.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108449.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108450.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108451.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108452.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108453.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108454.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108455.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108456.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
SUPA0108457.fits	2009-03-28_W-S-I+	SCIENCE 	SUPERFLAT2_2009-03-28_W-S-I+	Z2089   	
